ID,Signature,Commits,Avg Modified Statements,BCTs,Projects
1,RESERVED:ASSIGNMENT_RHS:INSERTED:true:1,125,1,1,35
2,RESERVED:CONDITION:INSERTED:sheq:1,114,1,1,42
3,RESERVED:METHOD_CALL:INSERTED:callback:1<br>RESERVED:STATEMENT:INSERTED:return:1<br>RESERVED:CONDITION:INSERTED:falsey:1,13,2,3,5
4,RESERVED:ARGUMENT:INSERTED:callback:1,10,1,1,6
5,RESERVED:CONDITION:INSERTED:falsey:1,655,1,1,67
6,RESERVED:METHOD_CALL:INSERTED:error:2,5,2,1,3
7,RESERVED:ASSIGNMENT_RHS:INSERTED:false:1,61,1,1,31
8,RESERVED:CONDITION:INSERTED:falsey:2,160,2,1,46
9,RESERVED:ARGUMENT:REMOVED:this:1,40,1,1,22
10,RESERVED:STATEMENT:INSERTED:var:1<br>RESERVED:CONDITION:INSERTED:falsey:1,66,3,2,29
11,METHOD:METHOD_CALL:INSERTED:replace:1,52,1,1,21
12,RESERVED:METHOD_CALL:INSERTED:error:1,18,1,1,9
13,RESERVED:CONDITION:REMOVED:falsey:1,147,2,1,46
14,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:STATEMENT:UPDATED:var:1,113,2,2,39
15,RESERVED:CONDITION:INSERTED:sheq:1<br>METHOD:METHOD_CALL:INSERTED:charAt:1,6,1,2,3
16,RESERVED:ASSIGNMENT_RHS:INSERTED:this:1,13,1,1,10
17,RESERVED:ASSIGNMENT_RHS:INSERTED:true:2,32,2,1,17
18,RESERVED:ASSIGNMENT_LHS:INSERTED:this:1,48,2,1,23
19,METHOD:METHOD_CALL:INSERTED:stringify:1<br>CLASS:METHOD_CALL:INSERTED:JSON:1,7,1,2,6
20,RESERVED:CONDITION:REMOVED:sheq:1,39,1,1,18
21,FIELD:ASSIGNMENT_RHS:INSERTED:prototype:1<br>FIELD:ASSIGNMENT_LHS:INSERTED:prototype:1,5,1,2,5
22,RESERVED:CONDITION:INSERTED:sheq:1<br>RESERVED:STATEMENT:INSERTED:new:1<br>RESERVED:CONDITION:INSERTED:typeof:1,11,2,3,8
23,RESERVED:STATEMENT:INSERTED:var:1<br>RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:STATEMENT:REMOVED:var:1,9,4,3,7
24,RESERVED:CONDITION:INSERTED:undefined:1<br>RESERVED:CONDITION:INSERTED:typeof:1,28,1,2,16
25,METHOD:METHOD_CALL:INSERTED:filter:1,16,3,1,11
26,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:CONDITION:REMOVED:falsey:1,76,2,2,25
27,FIELD:EXPRESSION:INSERTED:length:1,5,1,1,5
28,RESERVED:ASSIGNMENT_LHS:INSERTED:this:1<br>RESERVED:ASSIGNMENT_RHS:INSERTED:true:1,10,1,2,6
29,RESERVED:ASSIGNMENT_RHS:INSERTED:true:1<br>RESERVED:STATEMENT:UPDATED:new:1<br>RESERVED:STATEMENT:UPDATED:var:1,9,1,3,5
30,RESERVED:ASSIGNMENT_LHS:INSERTED:this:2,5,2,1,3
31,RESERVED:ASSIGNMENT_RHS:INSERTED:null:1<br>RESERVED:STATEMENT:UPDATED:var:1,24,1,2,6
32,RESERVED:STATEMENT:INSERTED:var:1<br>METHOD:METHOD_CALL:INSERTED:replace:1,5,2,2,5
33,METHOD:METHOD_CALL:INSERTED:replace:2,6,1,1,5
34,RESERVED:CONDITION:INSERTED:sheq:2,17,3,1,11
35,RESERVED:CONDITION:INSERTED:typeof:1,13,1,1,10
36,RESERVED:STATEMENT:INSERTED:return:1<br>RESERVED:CONDITION:INSERTED:falsey:2,15,2,2,11
37,RESERVED:STATEMENT:INSERTED:return:1<br>RESERVED:CONDITION:INSERTED:falsey:1,85,2,2,36
38,RESERVED:STATEMENT:INSERTED:var:1<br>RESERVED:ASSIGNMENT_RHS:INSERTED:true:1,5,2,2,4
39,METHOD:METHOD_CALL:REMOVED:stringify:1<br>CLASS:METHOD_CALL:REMOVED:JSON:1,9,1,2,6
40,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:STATEMENT:UPDATED:return:1,44,1,2,20
41,RESERVED:ARGUMENT:INSERTED:true:1<br>RESERVED:STATEMENT:UPDATED:var:1,7,2,2,6
42,RESERVED:ARGUMENT:INSERTED:true:1,25,1,1,17
43,RESERVED:ASSIGNMENT_RHS:REMOVED:false:1,22,1,1,16
44,RESERVED:CONDITION:INSERTED:sheq:1<br>RESERVED:STATEMENT:INSERTED:return:1,24,2,2,15
45,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:STATEMENT:REMOVED:var:1,6,3,2,6
46,RESERVED:CONDITION:INSERTED:sheq:1<br>RESERVED:CONDITION:INSERTED:typeof:1,76,1,2,36
47,RESERVED:STATEMENT:INSERTED:var:1<br>RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:STATEMENT:UPDATED:var:1,16,3,3,13
48,METHOD:METHOD_CALL:INSERTED:bind:1,14,2,1,11
49,RESERVED:STATEMENT:INSERTED:return:1<br>RESERVED:STATEMENT:INSERTED:var:1<br>RESERVED:CONDITION:INSERTED:falsey:1,6,5,3,6
50,RESERVED:ASSIGNMENT_RHS:REMOVED:true:1,40,1,1,24
51,RESERVED:ASSIGNMENT_RHS:INSERTED:false:2,8,1,1,7
52,RESERVED:ASSIGNMENT_RHS:INSERTED:null:2<br>RESERVED:STATEMENT:UPDATED:var:1,9,1,2,2
53,RESERVED:CONDITION:INSERTED:sheq:1<br>RESERVED:CONDITION:INSERTED:falsey:1,9,2,2,8
54,RESERVED:ASSIGNMENT_RHS:REMOVED:true:2,7,2,1,6
55,RESERVED:CONDITION:INSERTED:null:1<br>RESERVED:CONDITION:INSERTED:typeof:1,20,1,2,16
56,RESERVED:ASSIGNMENT_RHS:REMOVED:false:1<br>RESERVED:ASSIGNMENT_RHS:INSERTED:true:1,13,1,2,9
57,RESERVED:METHOD_CALL:REMOVED:this:1,28,1,1,16
58,RESERVED:ARGUMENT:REMOVED:null:1,13,1,1,10
59,RESERVED:CONDITION:INSERTED:falsey:3,23,3,1,18
60,RESERVED:ARGUMENT:REMOVED:error:1,20,1,1,10
61,METHOD:METHOD_CALL:INSERTED:push:1,11,1,1,7
62,RESERVED:STATEMENT:INSERTED:var:1<br>RESERVED:ASSIGNMENT_RHS:INSERTED:this:1,10,1,2,6
63,RESERVED:ASSIGNMENT_RHS:REMOVED:null:1<br>RESERVED:STATEMENT:UPDATED:var:1,6,1,2,1
64,RESERVED:STATEMENT:INSERTED:try:1<br>RESERVED:EXCEPTION_CATCH:INSERTED:error:1,44,3,2,23
65,RESERVED:ASSIGNMENT_RHS:INSERTED:false:1<br>RESERVED:STATEMENT:UPDATED:var:1,13,1,2,10
66,RESERVED:ARGUMENT:INSERTED:null:2,6,1,1,5
67,RESERVED:CONDITION:REMOVED:typeof:1<br>RESERVED:CONDITION:REMOVED:sheq:1,11,1,2,11
68,RESERVED:ASSIGNMENT_LHS:REMOVED:this:1,18,1,1,12
69,FIELD:ASSIGNMENT_LHS:INSERTED:1,9,1,1,7
70,RESERVED:ARGUMENT:INSERTED:null:1<br>RESERVED:STATEMENT:UPDATED:return:1,10,1,2,8
71,RESERVED:ASSIGNMENT_RHS:INSERTED:true:2<br>RESERVED:STATEMENT:UPDATED:var:1,5,1,2,2
72,RESERVED:STATEMENT:REMOVED:return:1<br>RESERVED:STATEMENT:INSERTED:return:1<br>RESERVED:CONDITION:REMOVED:falsey:1,5,2,3,5
73,RESERVED:CONDITION:REMOVED:falsey:2,34,2,1,18
74,FIELD:ASSIGNMENT_LHS:INSERTED:prototype:1,67,3,1,24
75,RESERVED:CONDITION:INSERTED:falsey:2<br>RESERVED:STATEMENT:UPDATED:var:1,33,3,2,21
76,RESERVED:STATEMENT:UPDATED:return:1<br>METHOD:METHOD_CALL:INSERTED:replace:1,16,1,2,11
77,RESERVED:CONDITION:INSERTED:eq:1,49,2,1,19
78,RESERVED:STATEMENT:INSERTED:return:1<br>RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:STATEMENT:UPDATED:var:1,6,3,3,5
79,RESERVED:ARGUMENT:REMOVED:true:1,13,1,1,10
80,RESERVED:ASSIGNMENT_LHS:INSERTED:this:1<br>RESERVED:CONDITION:INSERTED:falsey:1,5,2,2,5
81,RESERVED:ARGUMENT:INSERTED:this:1,31,1,1,17
82,RESERVED:ARGUMENT:INSERTED:null:1,23,1,1,15
83,RESERVED:CONDITION:INSERTED:sheq:1<br>RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:CONDITION:INSERTED:typeof:1,14,3,3,12
84,METHOD:METHOD_CALL:INSERTED:String:1,6,1,1,4
85,RESERVED:CONDITION:INSERTED:sheq:1<br>RESERVED:STATEMENT:UPDATED:var:1,19,2,2,12
86,RESERVED:STATEMENT:INSERTED:return:1<br>RESERVED:CONDITION:INSERTED:null:1<br>RESERVED:CONDITION:INSERTED:typeof:1,6,2,3,5
87,RESERVED:CONDITION:REMOVED:typeof:1,5,1,1,4
88,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:ASSIGNMENT_RHS:INSERTED:true:1,11,2,2,9
89,RESERVED:CONDITION:INSERTED:this:1,7,1,1,7
90,RESERVED:ASSIGNMENT_RHS:INSERTED:undefined:1,5,1,1,5
91,RESERVED:CONDITION:INSERTED:falsey:2<br>RESERVED:CONDITION:REMOVED:falsey:1,30,1,2,13
92,RESERVED:METHOD_CALL:INSERTED:this:1,83,1,1,29
93,METHOD:METHOD_CALL:REMOVED:replace:1,14,1,1,10
94,RESERVED:ASSIGNMENT_RHS:INSERTED:null:1,23,1,1,11
95,RESERVED:STATEMENT:REMOVED:return:1<br>RESERVED:STATEMENT:INSERTED:return:1<br>RESERVED:CONDITION:INSERTED:falsey:1,16,3,3,10
96,RESERVED:ASSIGNMENT_RHS:REMOVED:this:1<br>RESERVED:STATEMENT:REMOVED:var:1,5,1,2,5
97,FIELD:CONDITION:INSERTED:length:1,23,1,1,15
98,RESERVED:CONDITION:INSERTED:falsey:4,5,4,1,5
99,RESERVED:CONDITION:INSERTED:eq:1<br>RESERVED:CONDITION:INSERTED:typeof:1,20,1,2,12
100,RESERVED:ASSIGNMENT_RHS:REMOVED:null:1,13,1,1,10
101,RESERVED:CONDITION:INSERTED:falsey:2<br>RESERVED:STATEMENT:UPDATED:var:2,8,2,2,5
102,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:ASSIGNMENT_RHS:INSERTED:null:1,8,2,2,6
103,RESERVED:CONDITION:REMOVED:falsey:2<br>RESERVED:STATEMENT:UPDATED:var:1,6,1,2,5
104,METHOD:METHOD_CALL:INSERTED:indexOf:1,11,1,1,7
105,RESERVED:METHOD_CALL:REMOVED:error:1,13,1,1,7
106,RESERVED:STATEMENT:UPDATED:var:1<br>METHOD:METHOD_CALL:INSERTED:toLowerCase:1,7,1,2,6
107,METHOD:METHOD_CALL:INSERTED:forEach:1,9,5,1,8
108,RESERVED:CONDITION:INSERTED:sheq:1<br>RESERVED:CONDITION:REMOVED:eq:1,22,1,2,16
109,RESERVED:STATEMENT:UPDATED:return:1<br>METHOD:METHOD_CALL:INSERTED:toLowerCase:1,5,1,2,3
110,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:CONDITION:REMOVED:falsey:1<br>RESERVED:STATEMENT:UPDATED:return:1,8,1,3,7
111,RESERVED:CONDITION:REMOVED:typeof:1<br>RESERVED:CONDITION:REMOVED:undefined:1<br>RESERVED:CONDITION:INSERTED:undefined:1<br>RESERVED:CONDITION:INSERTED:typeof:1,5,1,4,3
112,RESERVED:CONDITION:INSERTED:sheq:1<br>RESERVED:CONDITION:REMOVED:sheq:1,11,1,2,10
113,RESERVED:ASSIGNMENT_RHS:REMOVED:true:1<br>RESERVED:ASSIGNMENT_RHS:INSERTED:true:1,5,2,2,4
114,RESERVED:CONDITION:INSERTED:sheq:1<br>RESERVED:STATEMENT:INSERTED:var:1,11,3,2,9
115,RESERVED:STATEMENT:REMOVED:return:1<br>RESERVED:CONDITION:REMOVED:falsey:1,12,2,2,9
116,RESERVED:ASSIGNMENT_RHS:INSERTED:true:1<br>RESERVED:STATEMENT:UPDATED:var:1,30,1,2,13
117,RESERVED:ASSIGNMENT_LHS:INSERTED:this:1<br>RESERVED:ASSIGNMENT_RHS:INSERTED:this:1,8,1,2,6
118,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:CONDITION:REMOVED:falsey:1<br>RESERVED:STATEMENT:UPDATED:var:1,15,3,3,11
119,RESERVED:CONDITION:REMOVED:falsey:1<br>RESERVED:STATEMENT:UPDATED:var:1,23,2,2,18
120,RESERVED:CONDITION:REMOVED:falsey:1<br>RESERVED:CONDITION:INSERTED:null:1<br>RESERVED:CONDITION:INSERTED:typeof:1,5,1,3,5
121,RESERVED:ARGUMENT:INSERTED:true:2,7,2,1,5
122,RESERVED:CONDITION:INSERTED:sheq:1<br>RESERVED:CONDITION:INSERTED:true:1,7,1,2,6
123,METHOD:METHOD_CALL:INSERTED:toString:1,8,1,1,7
124,RESERVED:ARGUMENT:INSERTED:false:1,11,2,1,6
125,RESERVED:CONDITION:INSERTED:sheq:1<br>RESERVED:STATEMENT:UPDATED:return:1,6,1,2,4
126,METHOD:METHOD_CALL:INSERTED:map:1,6,3,1,6
127,RESERVED:STATEMENT:INSERTED:var:1<br>RESERVED:CONDITION:INSERTED:falsey:2,20,3,2,11
128,RESERVED:CONDITION:INSERTED:eq:1<br>RESERVED:CONDITION:REMOVED:sheq:1,14,1,2,9
129,METHOD:METHOD_CALL:REMOVED:bind:1,5,4,1,4
130,RESERVED:CONDITION:INSERTED:sheq:1<br>RESERVED:CONDITION:INSERTED:falsey:2,7,1,2,7
131,RESERVED:CONDITION:INSERTED:sheq:1<br>METHOD:METHOD_CALL:INSERTED:indexOf:1,5,1,2,4
132,RESERVED:ARGUMENT:INSERTED:undefined:1,5,1,1,5
133,RESERVED:ASSIGNMENT_RHS:INSERTED:null:2,6,2,1,4
134,RESERVED:ARGUMENT:INSERTED:error:1,18,1,1,15
135,RESERVED:CONDITION:REMOVED:falsey:1<br>RESERVED:STATEMENT:REMOVED:var:1,8,2,2,6
136,RESERVED:CONDITION:REMOVED:falsey:1<br>RESERVED:STATEMENT:UPDATED:return:1,6,1,2,5
137,RESERVED:EXPRESSION:INSERTED:this:1,6,1,1,6
138,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:CONDITION:UPDATED:falsey:1,7,1,2,6
139,RESERVED:STATEMENT:UPDATED:var:1,19,2,1,6
140,RESERVED:METHOD_CALL:INSERTED:this:2,10,2,1,7
141,RESERVED:ARGUMENT:INSERTED:this:1<br>METHOD:METHOD_CALL:INSERTED:bind:1,9,1,2,6
142,RESERVED:ASSIGNMENT_RHS:INSERTED:true:1<br>RESERVED:ASSIGNMENT_RHS:INSERTED:false:1,6,1,2,6
143,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:CONDITION:REMOVED:falsey:2,7,2,2,5
144,RESERVED:CONDITION:INSERTED:eq:2,6,1,1,2
145,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:STATEMENT:UPDATED:new:1,6,1,2,6
146,RESERVED:CONDITION:REMOVED:eq:1,13,2,1,9
147,RESERVED:STATEMENT:INSERTED:var:1<br>RESERVED:ASSIGNMENT_RHS:INSERTED:this:1,6,5,2,5
148,RESERVED:CONDITION:INSERTED:eq:1<br>RESERVED:CONDITION:INSERTED:falsey:1,5,2,2,4
149,METHOD:METHOD_CALL:INSERTED:slice:1,10,1,1,8
150,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:CONDITION:INSERTED:callback:1,8,1,2,6
151,RESERVED:STATEMENT:INSERTED:new:1<br>RESERVED:CONDITION:INSERTED:falsey:1,8,2,2,6
152,RESERVED:ARGUMENT:INSERTED:error:1,5,5,1,4
153,METHOD:METHOD_CALL:INSERTED:toLowerCase:1,12,1,1,6
154,RESERVED:CONDITION:INSERTED:falsey:2<br>RESERVED:CONDITION:REMOVED:falsey:2,7,2,2,6
155,FIELD:ASSIGNMENT_LHS:REMOVED:prototype:1,9,4,1,9
156,RESERVED:STATEMENT:UPDATED:var:1<br>METHOD:METHOD_CALL:INSERTED:replace:1,15,1,2,11
157,RESERVED:METHOD_CALL:INSERTED:this:1<br>RESERVED:CONDITION:INSERTED:falsey:1,7,2,2,7
158,RESERVED:STATEMENT:INSERTED:return:2<br>RESERVED:CONDITION:INSERTED:falsey:2,7,4,2,7
159,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:CONDITION:INSERTED:undefined:1<br>RESERVED:CONDITION:INSERTED:typeof:1,5,1,3,5
160,RESERVED:CONDITION:INSERTED:sheq:1<br>RESERVED:CONDITION:REMOVED:eq:1<br>RESERVED:STATEMENT:UPDATED:return:1,6,1,3,5
161,RESERVED:ASSIGNMENT_RHS:REMOVED:false:1<br>RESERVED:ASSIGNMENT_RHS:INSERTED:true:1<br>RESERVED:STATEMENT:UPDATED:var:1,5,1,3,5
162,RESERVED:CONDITION:INSERTED:sheq:2<br>RESERVED:CONDITION:INSERTED:typeof:2,9,1,2,8
163,RESERVED:PARAMETER_DECLARATION:REMOVED:callback:1,6,1,1,5
164,RESERVED:CONDITION:INSERTED:false:1<br>RESERVED:ASSIGNMENT_LHS:INSERTED:this:1<br>RESERVED:CONDITION:INSERTED:falsey:1,5,1,3,4
165,RESERVED:CONDITION:INSERTED:sheq:1<br>RESERVED:CONDITION:INSERTED:this:1,5,1,2,5
166,RESERVED:CONDITION:REMOVED:falsey:2,6,6,1,6
167,RESERVED:STATEMENT:INSERTED:var:1<br>RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:ASSIGNMENT_RHS:INSERTED:true:1<br>RESERVED:ASSIGNMENT_RHS:INSERTED:false:1,8,3,4,8
168,METHOD:METHOD_CALL:INSERTED:push:1<br>RESERVED:CONDITION:INSERTED:falsey:1,5,2,2,4
169,RESERVED:METHOD_CALL:INSERTED:callback:1<br>RESERVED:STATEMENT:INSERTED:return:1<br>RESERVED:ARGUMENT:INSERTED:null:1<br>RESERVED:CONDITION:INSERTED:falsey:1,6,2,4,4
170,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:STATEMENT:UPDATED:var:2,5,5,2,5
171,FIELD:CONDITION:INSERTED:length:1<br>RESERVED:CONDITION:INSERTED:typeof:1,13,1,2,11
172,RESERVED:CONDITION:INSERTED:falsey:1<br>METHOD:METHOD_CALL:INSERTED:hasOwnProperty:1,9,1,2,7
173,RESERVED:ASSIGNMENT_RHS:REMOVED:this:1,6,1,1,6
174,RESERVED:CONDITION:INSERTED:sheq:1<br>RESERVED:STATEMENT:INSERTED:return:1<br>RESERVED:CONDITION:INSERTED:typeof:1,9,2,3,8
175,RESERVED:METHOD_CALL:INSERTED:this:1<br>RESERVED:STATEMENT:INSERTED:new:1,5,4,2,2
176,RESERVED:CONDITION:INSERTED:falsey:4,8,1,1,8
177,METHOD:METHOD_CALL:INSERTED:concat:1,6,1,1,6
178,RESERVED:CONDITION:REMOVED:typeof:1<br>RESERVED:CONDITION:REMOVED:undefined:1,6,1,2,4
179,RESERVED:CONDITION:REMOVED:typeof:1<br>RESERVED:CONDITION:INSERTED:typeof:1,10,1,2,6
180,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:CONDITION:INSERTED:error:1,12,1,2,11
181,RESERVED:CONDITION:INSERTED:sheq:1<br>RESERVED:CONDITION:REMOVED:falsey:1<br>RESERVED:CONDITION:INSERTED:typeof:1,5,1,3,5
182,METHOD:METHOD_CALL:INSERTED:trim:1,8,1,1,7
183,RESERVED:CONDITION:INSERTED:false:2<br>RESERVED:CONDITION:INSERTED:sheq:2,5,2,2,4
184,RESERVED:CONDITION:INSERTED:falsey:2<br>RESERVED:STATEMENT:UPDATED:return:1,9,2,2,7
185,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:ASSIGNMENT_RHS:INSERTED:false:1,13,2,2,7
186,RESERVED:STATEMENT:INSERTED:return:1,5,2,1,5
187,METHOD:METHOD_CALL:INSERTED:call:1<br>RESERVED:METHOD_CALL:UPDATED:delete:1,6,1,2,1
188,RESERVED:METHOD_CALL:INSERTED:this:1<br>FIELD:ASSIGNMENT_LHS:INSERTED:prototype:1,5,4,2,5
189,RESERVED:ARGUMENT:INSERTED:null:1,5,5,1,5
190,RESERVED:CONDITION:INSERTED:eq:1<br>METHOD:METHOD_CALL:INSERTED:indexOf:1<br>RESERVED:CONDITION:INSERTED:typeof:1,5,2,3,1
191,RESERVED:ASSIGNMENT_LHS:INSERTED:this:1<br>RESERVED:ASSIGNMENT_RHS:INSERTED:null:1,8,1,2,4
192,RESERVED:ARGUMENT:INSERTED:true:1<br>RESERVED:CONDITION:INSERTED:falsey:1,5,2,2,3
193,METHOD:METHOD_CALL:INSERTED:match:1<br>RESERVED:CONDITION:INSERTED:falsey:1,6,1,2,6
194,RESERVED:STATEMENT:INSERTED:return:1<br>RESERVED:CONDITION:INSERTED:typeof:1,6,2,2,6
195,METHOD:METHOD_CALL:REMOVED:forEach:1<br>METHOD:METHOD_CALL:INSERTED:forEach:1,13,2,2,2
196,RESERVED:STATEMENT:INSERTED:return:1<br>RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:STATEMENT:UPDATED:return:1,6,4,3,5
197,RESERVED:ASSIGNMENT_RHS:REMOVED:true:1<br>RESERVED:ASSIGNMENT_RHS:INSERTED:false:1,18,1,2,10
198,RESERVED:STATEMENT:INSERTED:var:1<br>RESERVED:CONDITION:INSERTED:falsey:2<br>RESERVED:STATEMENT:UPDATED:var:1,6,2,3,5
199,RESERVED:CONDITION:INSERTED:sheq:2<br>RESERVED:CONDITION:INSERTED:typeof:2,5,4,2,4
200,RESERVED:CONDITION:REMOVED:falsey:3,5,3,1,4
201,RESERVED:ARGUMENT:INSERTED:typeof:1,5,1,1,4
202,RESERVED:CONDITION:INSERTED:false:1<br>RESERVED:CONDITION:INSERTED:sheq:1,11,1,2,9
203,RESERVED:ASSIGNMENT_RHS:REMOVED:true:1<br>RESERVED:STATEMENT:UPDATED:var:1,7,1,2,5
204,RESERVED:STATEMENT:INSERTED:var:1<br>RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:STATEMENT:UPDATED:return:1,5,2,3,5
205,METHOD:METHOD_CALL:INSERTED:sort:1,5,3,1,4
206,RESERVED:CONDITION:REMOVED:sheq:2,8,2,1,8
207,RESERVED:CONDITION:INSERTED:sheq:1<br>RESERVED:CONDITION:INSERTED:typeof:1<br>RESERVED:STATEMENT:UPDATED:var:1,7,1,3,5
208,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:METHOD_CALL:INSERTED:error:1,6,2,2,4
209,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:ASSIGNMENT_RHS:INSERTED:true:1<br>RESERVED:ASSIGNMENT_RHS:INSERTED:false:1<br>RESERVED:STATEMENT:UPDATED:var:1,5,3,4,3
210,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:CONDITION:INSERTED:null:1<br>RESERVED:CONDITION:INSERTED:typeof:1,5,2,3,5
211,RESERVED:ARGUMENT:INSERTED:error:1<br>RESERVED:STATEMENT:INSERTED:try:1<br>RESERVED:EXCEPTION_CATCH:INSERTED:error:1,5,3,3,5
212,RESERVED:CONDITION:INSERTED:eq:1<br>RESERVED:CONDITION:REMOVED:eq:1,6,1,2,6
213,METHOD:METHOD_CALL:INSERTED:split:1,5,1,1,4
214,RESERVED:STATEMENT:INSERTED:var:2<br>RESERVED:CONDITION:INSERTED:falsey:1,5,5,2,5
215,RESERVED:CONDITION:INSERTED:sheq:1<br>RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:CONDITION:REMOVED:falsey:1,6,1,3,3
216,RESERVED:CONDITION:INSERTED:false:1<br>RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:STATEMENT:UPDATED:var:1,5,1,3,2
217,RESERVED:ASSIGNMENT_RHS:INSERTED:true:1<br>RESERVED:STATEMENT:UPDATED:return:1,5,1,2,3
218,METHOD:METHOD_CALL:REMOVED:replace:1<br>RESERVED:STATEMENT:UPDATED:return:1,6,1,2,6
219,RESERVED:METHOD_CALL:INSERTED:callback:1,5,2,1,3
